Week,TeamA,TeamB
15,Colorado,Washington State
15,Delaware,Jacksonville State
15,Eastern Carolina,Memphis
15,Eastern Michigan,Ohio
15,Florida,Mississippi State
15,Florida Atlantic,UTSA
15,Florida International,Sam Houston State
15,Fresno State,San Jose State
15,Georgia,Vanderbilt
15,Hawaii,Colorado State
15,Indiana,Nebraska
15,Iowa,Ohio State
15,James Madison,Louisiana Monroe
15,Kansas,Cincinnati
15,Kennesaw State,Middle Tennessee
15,LSU,South Carolina
15,Liberty,Missouri State
15,Louisiana Tech,New Mexico State
15,Marshall,Southern Mississippi
15,Miami (FL),Florida State
15,Michigan State,Michigan
15,Minnesota,Maryland
15,Montana,Tarleton St.
15,Montana State,Louisiana
15,Navy,Northwestern
15,New Mexico,Nevada
15,North Dakota State,Arkansas State
15,North Texas,Tulsa
15,Notre Dame,Southern Methodist
15,Oklahoma,Missouri
15,Oklahoma State,TCU
15,Old Dominion,Georgia State
15,Ole Miss,Duke
15,Oregon,Oregon State
15,Purdue,Illinois
15,Rutgers,Penn State
15,Sacramento State,UConn
15,South Alabama,Troy
15,South Florida,UAB
15,Stanford,Cal
15,Syracuse,Virginia
15,Temple,Rice
15,Texas,Arkansas
15,Texas A&M,Kentucky
15,Texas Tech,Iowa State
15,UC Davis,South Dakota State
15,UCLA,Arizona State
15,UMass,North Alabama
15,UNC,Pitt
15,USC,Washington
15,UTEP,Western Kentucky
15,Utah State,San Diego State
15,Virginia Tech,NC State
15,Wake Forest,Georgia Tech
15,West Virginia,Kansas State
16,Air Force,Utah State
16,Akron,Ohio
16,Appalachian State,Marshall
16,Arizona State,Oregon State
16,Arkansas,South Carolina
16,Army,Boston College
16,Auburn,Wisconsin
16,Ball State,Kent State
16,Baylor,Cincinnati
16,Boise State,Fresno State
16,Bowling Green,Western Michigan
16,Buffalo,Toledo
16,Charlotte,North Texas
16,Clemson,Georgia Tech
16,Coastal Carolina,Georgia State
16,Colorado,Cal
16,Colorado State,Nevada
16,Delaware,Missouri State
16,Duke,Southern Methodist
16,Eastern Carolina,Rice
16,Eastern Michigan,Northern Illinois
16,Florida Atlantic,South Florida
16,Florida International,Kennesaw State
16,Georgia,Alabama
16,Hawaii,New Mexico
16,Illinois,Maryland
16,Jacksonville State,Liberty
16,Kansas,Houston
16,Kentucky,Mississippi State
16,Louisiana Tech,UTEP
16,Miami (FL),Pitt
16,Miami (OH),Central Michigan
16,Michigan,Nebraska
16,Michigan State,Indiana
16,Middle Tennessee,Sam Houston State
16,Minnesota,Purdue
16,Missouri,Navy
16,Montana State,Arkansas State
16,NC State,Virginia
16,New Mexico State,Western Kentucky
16,North Alabama,Tarleton St.
16,North Dakota State,Louisiana
16,Oklahoma,Northwestern
16,Oklahoma State,BYU
16,Old Dominion,Texas State
16,Ole Miss,Notre Dame
16,Oregon,UCLA
16,Penn State,Ohio State
16,Rutgers,Iowa
16,Sacramento State,South Dakota State
16,San Diego State,UNLV
16,South Alabama,James Madison
16,Southern Mississippi,Georgia Southern
16,Stanford,Washington State
16,TCU,UCF
16,Temple,Memphis
16,Texas,LSU
16,Texas A&M,Florida
16,Texas Tech,Kansas State
16,Troy,Louisiana Monroe
16,Tulane,Tulsa
16,UAB,UTSA
16,UC Davis,UConn
16,UMass,Montana
16,UNC,Florida State
16,USC,Arizona
16,Vanderbilt,Tennessee
16,Virginia Tech,Syracuse
16,Wake Forest,Louisville
16,Washington,Utah
16,West Virginia,Iowa State
16,Wyoming,San Jose State
17,Air Force,San Jose State
17,Akron,Toledo
17,Appalachian State,James Madison
17,Arizona,UCLA
17,Arizona State,Washington State
17,Army,Southern Methodist
17,Auburn,Navy
17,BYU,Kansas State
17,Baylor,Texas Tech
17,Boise State,San Diego State
17,Bowling Green,Northern Illinois
17,Buffalo,Western Michigan
17,Central Michigan,Ohio
17,Charlotte,Temple
17,Clemson,Florida State
17,Coastal Carolina,Marshall
17,Colorado,Utah
17,Delaware,Florida International
17,Duke,Missouri
17,Eastern Carolina,Tulsa
17,Eastern Michigan,Kent State
17,Florida,South Carolina
17,Florida Atlantic,North Texas
17,Fresno State,New Mexico
17,Georgia State,Louisiana Monroe
17,Georgia Tech,Syracuse
17,Indiana,Rutgers
17,Jacksonville State,Louisiana Tech
17,Kennesaw State,UTEP
17,Kentucky,Texas
17,LSU,Alabama
17,Liberty,Middle Tennessee
17,Memphis,UTSA
17,Miami (OH),Ball State
17,Michigan,Ohio State
17,Michigan State,Illinois
17,Minnesota,Nebraska
17,Mississippi State,Tennessee
17,Missouri State,Western Kentucky
17,Montana,Arkansas State
17,Montana State,South Dakota State
17,NC State,Louisville
17,New Mexico State,Sam Houston State
17,North Alabama,Louisiana
17,North Dakota State,UConn
17,Notre Dame,Northwestern
17,Oklahoma,Boston College
17,Oklahoma State,Houston
17,Old Dominion,Georgia Southern
17,Ole Miss,Wisconsin
17,Oregon,Cal
17,Oregon State,Washington
17,Penn State,Maryland
17,Purdue,Iowa
17,Rice,South Florida
17,Sacramento State,Tarleton St.
17,South Alabama,Texas State
17,TCU,Iowa State
17,Texas A&M,Georgia
17,Troy,Southern Mississippi
17,Tulane,UAB
17,UC Davis,UMass
17,UCF,Cincinnati
17,UNC,Virginia
17,UNLV,Nevada
17,USC,Stanford
17,Utah State,Hawaii
17,Vanderbilt,Arkansas
17,Virginia Tech,Miami (FL)
17,Wake Forest,Pitt
17,West Virginia,Kansas
17,Wyoming,Colorado State
18,Air Force,Boise State
18,Akron,Kent State
18,Appalachian State,Troy
18,Arizona,Oregon State
18,Arizona State,Cal
18,Arkansas,Alabama
18,Army,Ole Miss
18,Auburn,Oklahoma
18,BYU,Iowa State
18,Ball State,Western Michigan
18,Baylor,West Virginia
18,Boston College,Navy
18,Bowling Green,Ohio
18,Buffalo,Miami (OH)
18,Central Michigan,Northern Illinois
18,Charlotte,Eastern Carolina
18,Clemson,Pitt
18,Coastal Carolina,Georgia Southern
18,Delaware,Middle Tennessee
18,Duke,Northwestern
18,Eastern Michigan,Toledo
18,Florida,Texas
18,Florida Atlantic,Tulane
18,Florida International,Liberty
18,Fresno State,Colorado State
18,Georgia,Mississippi State
18,Hawaii,UNLV
18,Illinois,Nebraska
18,Indiana,Ohio State
18,Iowa,Maryland
18,Jacksonville State,Western Kentucky
18,James Madison,Southern Mississippi
18,Kansas,Texas Tech
18,Kennesaw State,New Mexico State
18,Kentucky,South Carolina
18,LSU,Vanderbilt
18,Louisiana Monroe,Texas State
18,Louisiana Tech,Missouri State
18,Louisville,Syracuse
18,Miami (FL),Virginia
18,Minnesota,Michigan State
18,Missouri,Notre Dame
18,Montana,Louisiana
18,NC State,Georgia Tech
18,North Alabama,Arkansas State
18,North Dakota State,South Dakota State
18,North Texas,UAB
18,Oklahoma State,Cincinnati
18,Old Dominion,Marshall
18,Oregon,Washington State
18,Penn State,Purdue
18,Rice,UTSA
18,Rutgers,Michigan
18,Sacramento State,UMass
18,Sam Houston State,UTEP
18,San Jose State,San Diego State
18,South Alabama,Georgia State
18,South Florida,Memphis
18,Southern Methodist,Wisconsin
18,Stanford,Utah
18,TCU,Kansas State
18,Temple,Tulsa
18,Texas A&M,Tennessee
18,UC Davis,Tarleton St.
18,UCF,Houston
18,UCLA,Washington
18,UConn,Montana State
18,USC,Colorado
18,Utah State,Nevada
18,Virginia Tech,UNC
18,Wake Forest,Florida State
18,Wyoming,New Mexico
